1,2,3
-9.89444e-9,-9.87478e-9,-9.847829e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874672e-9,-9.874696e-9,-9.874705e-9
-9.87461e-9,-9.874649e-9,-9.874705e-9
-9.87462e-9,-9.874663e-9,-9.874705e-9
-9.829622e-9,-9.818569e-9,-9.836665e-9
-9.874628e-9,-9.874653e-9,-9.874705e-9
-9.883214e-9,-9.860237e-9,-9.838054e-9
-9.862339e-9,-9.851265e-9,-9.848275e-9
-9.87466e-9,-9.874705e-9,-9.874705e-9
-9.874659e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.894423e-9,-9.874742e-9,-9.937406e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874659e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874634e-9,-9.874675e-9,-9.874705e-9
-9.895885e-9,-9.874761e-9,-9.8445225e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.874653e-9,-9.874705e-9,-9.874705e-9
-9.896006e-9,-9.872004e-9,-9.844667e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.885109e-9,-9.86863e-9,-9.85281e-9
-9.874612e-9,-9.874651e-9,-9.874705e-9
-9.87462e-9,-9.874663e-9,-9.874705e-9
-9.874634e-9,-9.874675e-9,-9.874705e-9
-9.874658e-9,-9.874705e-9,-9.874705e-9
-9.874634e-9,-9.874675e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.7774295e-9,-9.778664e-9,-9.830534e-9
-9.8746336e-9,-9.874661e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874704e-9
-9.874636e-9,-9.874675e-9,-9.874705e-9
-9.874634e-9,-9.874675e-9,-9.874705e-9
-9.8746336e-9,-9.874675e-9,-9.874705e-9
-9.874614e-9,-9.874654e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.87466e-9,-9.874705e-9,-9.874705e-9
-9.874705e-9,-9.874705e-9,-9.874705e-9
-9.87466e-9,-9.874705e-9,-9.874705e-9
-9.8816715e-9,-9.870349e-9,-9.854403e-9
-9.874634e-9,-9.874675e-9,-9.874705e-9
-9.95452e-9,-9.954535e-9,-9.954546e-9
-9.887277e-9,-9.874705e-9,-9.856791e-9
-9.958471e-9,-9.949936e-9,-9.942001e-9
-9.874658e-9,-9.874705e-9,-9.874705e-9
